#                                                                                        --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name                       accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- -----             -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
Endotoxin_N          PF03945.13   223 d5158bc540ac229a35b62f08e71bca04 -            719     4e-34  104.4   0.0   1   1   7.8e-34   7.8e-34  103.4   0.0    14   223    76   279    62   279 0.86 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 9d73a1ac56646324f243350437d753aa -            633   3.8e-34  104.4   0.4   1   1   5.8e-34   5.8e-34  103.8   0.4     2   222    54   262    53   263 0.84 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 578b021093038592f5915b33a8dcb899 -            634   1.9e-26   79.3   0.3   1   1     3e-26     3e-26   78.6   0.3    31   222    84   263    53   264 0.80 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 d6f64caced4e8d9570e08a9564db7fb0 -           1157   2.6e-25   75.5   0.9   1   1   7.1e-25   7.1e-25   74.1   0.9     5   223    73   296    69   296 0.82 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 fdc7c28b3f9186e0fe91448bd5ec0827 -           1230     5e-25   74.6   0.6   1   2     5e-25     5e-25   74.6   0.6     5   223    69   292    65   292 0.82 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 fdc7c28b3f9186e0fe91448bd5ec0827 -           1230     5e-25   74.6   0.6   2   2       0.3       0.3   -3.1   1.7   168   191  1173  1196  1160  1209 0.59 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 d6003c569744d54994383b1db3680122 -            657   7.8e-17   47.8   0.0   1   1   1.5e-16   1.5e-16   46.9   0.0    41   223   104   291    66   291 0.74 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 f5af903b66cff8c35e3197cb63649d79 -            660   5.9e-31   94.0   0.0   1   1   1.1e-30   1.1e-30   93.1   0.0    11   223    82   289    70   289 0.82 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 6b5873ace35adbe0d83bc9f0bb83776d -           1232     5e-25   74.6   0.6   1   3     5e-25     5e-25   74.6   0.6     5   223    71   294    67   294 0.82 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 6b5873ace35adbe0d83bc9f0bb83776d -           1232     5e-25   74.6   0.6   2   3      0.22      0.22   -2.7   0.3    68   107   934   974   927   995 0.61 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 6b5873ace35adbe0d83bc9f0bb83776d -           1232     5e-25   74.6   0.6   3   3       0.3       0.3   -3.1   1.7   168   191  1175  1198  1162  1211 0.59 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 93137b2b6d40a18c6645a5c2bbcce994 -            674   3.6e-20   58.7   0.0   1   1   6.8e-20   6.8e-20   57.8   0.0    41   223   102   291    62   291 0.74 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 9b99dde1fdbad99838eb0aeace3109fe -           1157   4.2e-26   78.1   1.4   1   1   9.8e-26   9.8e-26   76.9   1.4     5   223    73   296    69   296 0.82 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 67c68a53c42b36b9bca7233c7890f799 -           1157   8.8e-26   77.1   0.9   1   1     2e-25     2e-25   75.9   0.9     5   223    73   296    69   296 0.80 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 9bb20e1170a22b29c427ced31524fdfa -            663   6.9e-24   70.9   0.0   1   1     1e-23     1e-23   70.3   0.0    31   222   111   296    83   297 0.85 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 a50164923a421dd341274fae0ab9940e -            686   1.4e-31   96.1   1.3   1   2   1.4e-31   1.4e-31   96.1   1.3     8   223    77   296    70   296 0.86 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 a50164923a421dd341274fae0ab9940e -            686   1.4e-31   96.1   1.3   2   2      0.58      0.58   -4.1   0.2   169   185   367   383   366   389 0.85 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 42d644a9f42ce97be6933d3de8bf06fd -            663   6.6e-24   71.0   0.0   1   1     1e-23     1e-23   70.3   0.0    31   222   111   296    83   297 0.85 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 f9852534a85e695175d28f06f9e7f104 -            679   2.1e-26   79.1   0.3   1   2   5.9e-26   5.9e-26   77.6   0.2     6   223    77   285    72   285 0.84 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 f9852534a85e695175d28f06f9e7f104 -            679   2.1e-26   79.1   0.3   2   2      0.28      0.28   -3.0   0.0   193   211   456   474   450   477 0.82 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 efa7d586b4863cc171d35cdf922dd519 -            688   1.2e-14   40.7   1.6   1   1   2.1e-14   2.1e-14   39.9   1.6    59   223   137   301    97   301 0.87 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 75ac5107947206ae62ab03a105f6d892 -            688   3.3e-14   39.3   1.6   1   1   5.7e-14   5.7e-14   38.4   1.6    59   223   137   301    97   301 0.86 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 7551ad7baaf5369a3627d19d90a09902 -            688   1.2e-14   40.7   1.6   1   1   2.1e-14   2.1e-14   39.9   1.6    59   223   137   301    97   301 0.87 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 3fab19c255f87231b4fedb883d26e034 -            716   4.8e-32   97.6   0.0   1   1   7.6e-32   7.6e-32   96.9   0.0    20   223    89   286    70   286 0.86 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 5a4537f921e0bef6f939a126ed3cd436 -            633   6.2e-34  103.7   0.6   1   1     1e-33     1e-33  103.1   0.6    27   222    80   262    53   263 0.84 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 0290a51001cc62942d034af2c66620db -            633   1.6e-33  102.4   0.7   1   1   2.6e-33   2.6e-33  101.7   0.7    27   222    80   262    53   263 0.84 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 d48503b177e3945f2d1373ce18409e2c -            623   1.2e-32   99.5   0.1   1   1     2e-32     2e-32   98.8   0.1    31   222    83   262    53   263 0.82 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 0d5a86a5256682aeedc0f3b3f42661be -            622   3.7e-30   91.4   0.0   1   1   6.3e-30   6.3e-30   90.6   0.0    26   222    79   262    53   263 0.82 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 a0e4bac20ffb14646d266888eab7f350 -            623   7.5e-33  100.2   0.1   1   1   1.2e-32   1.2e-32   99.5   0.1    26   222    79   262    53   263 0.82 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 f3c944d22cd6c5c8ad27bdfc2e7bc3e9 -            633     2e-33  102.1   0.7   1   1   3.2e-33   3.2e-33  101.4   0.7    11   222    64   262    53   263 0.81 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 0e437dfe193ecc2bbadecea8e6096d43 -            643   3.4e-25   75.1   0.0   1   1   6.7e-25   6.7e-25   74.2   0.0    19   222    61   242    44   243 0.91 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 cce4b03d96b20c746b987e532ba81117 -            864   6.2e-35  107.0   5.3   1   2   2.7e-31   2.7e-31   95.1   0.2    32   186   124   277   102   300 0.86 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 cce4b03d96b20c746b987e532ba81117 -            864   6.2e-35  107.0   5.3   2   2   3.5e-06   3.5e-06   13.0   1.2   182   223   336   366   300   366 0.70 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 3e9d6af60325672f149beb3fa374b158 -            724     1e-21   63.8   4.3   1   3   1.6e-20   1.6e-20   59.9   0.0    34   221    67   238    55   240 0.83 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 3e9d6af60325672f149beb3fa374b158 -            724     1e-21   63.8   4.3   2   3     0.075     0.075   -1.2   0.0    38    64   407   433   372   466 0.69 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 3e9d6af60325672f149beb3fa374b158 -            724     1e-21   63.8   4.3   3   3    0.0051    0.0051    2.6   1.8   150   200   658   704   648   715 0.72 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 2216929a9e25a5b393768c4c6406803e -           1301     2e-32   98.8   1.2   1   2   3.6e-28   3.6e-28   84.9   0.0    17   210   108   298    97   306 0.89 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 2216929a9e25a5b393768c4c6406803e -           1301     2e-32   98.8   1.2   2   2   6.1e-06   6.1e-06   12.2   0.8   196   223   306   333   299   333 0.91 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 14274fcc2c1d0d4cd9b3c1cb62da19ac -           1304   9.3e-32   96.6   1.2   1   2   1.7e-27   1.7e-27   82.7   0.0    17   210   108   298    96   306 0.89 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 14274fcc2c1d0d4cd9b3c1cb62da19ac -           1304   9.3e-32   96.6   1.2   2   2   6.1e-06   6.1e-06   12.2   0.8   196   223   306   333   299   333 0.91 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 2b8ee33d95351dbdfaf0bccc8470794a -           1117   1.3e-32   99.5   0.1   1   2   4.4e-32   4.4e-32   97.7   0.0    14   221    47   250    33   252 0.87 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 2b8ee33d95351dbdfaf0bccc8470794a -           1117   1.3e-32   99.5   0.1   2   2      0.31      0.31   -3.2   0.2    38    72   631   665   625   680 0.64 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 ce6a359b920303592185eefe7ddc0d2d -            675   6.8e-34  103.6   0.0   1   1   1.2e-33   1.2e-33  102.8   0.0    14   223    32   235    19   235 0.87 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 7612f1feca7682499f8d11f16ec1fe44 -            673   1.9e-19   56.4   3.0   1   2   7.9e-10   7.9e-10   24.9   0.1    67   155   136   220    81   243 0.75 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 7612f1feca7682499f8d11f16ec1fe44 -            673   1.9e-19   56.4   3.0   2   2   9.2e-12   9.2e-12   31.2   0.9   155   223   251   313   234   313 0.86 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 8f6bbf4f65dc63c013a3f93556183348 -           1136     2e-25   75.9   0.6   1   1   5.3e-25   5.3e-25   74.5   0.6     5   223    52   275    48   275 0.82 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 f2463c626cf18905c5edb3ef0d587fd9 -            903   8.4e-31   93.5   0.0   1   1   1.6e-30   1.6e-30   92.6   0.0    11   223    90   288    69   288 0.88 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 efa4500ea3fdd1210036871f98e04455 -           1195   5.7e-31   94.1   0.0   1   1   1.4e-30   1.4e-30   92.8   0.0    36   223   108   288    89   288 0.93 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 e6ec624bf44574b9cda500000e22c6b0 -           1194   1.1e-30   93.1   0.1   1   1   2.6e-30   2.6e-30   91.9   0.1    36   223   108   288    89   288 0.92 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 d61a50070b62b93b72810ec7b9b93569 -           1213   7.9e-31   93.6   0.6   1   2   1.7e-30   1.7e-30   92.5   0.1    36   223   109   289    90   289 0.92 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 d61a50070b62b93b72810ec7b9b93569 -           1213   7.9e-31   93.6   0.6   2   2      0.58      0.58   -4.1   0.1    36    64   680   708   672   716 0.51 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 74bf02325d59bb6e87432bac0a2b6149 -           1160   1.2e-28   86.5   0.4   1   2   4.5e-28   4.5e-28   84.6   0.0     9   223    86   290    77   290 0.90 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 74bf02325d59bb6e87432bac0a2b6149 -           1160   1.2e-28   86.5   0.4   2   2      0.18      0.18   -2.4   0.1    39    72   676   709   666   716 0.78 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 0c2b2f2a37395670ecc855dd2ac91b23 -           1160   1.2e-28   86.5   0.4   1   2   4.5e-28   4.5e-28   84.6   0.0     9   223    86   290    77   290 0.90 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 0c2b2f2a37395670ecc855dd2ac91b23 -           1160   1.2e-28   86.5   0.4   2   2      0.18      0.18   -2.4   0.1    39    72   676   709   666   716 0.78 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 05a3decd47f092ebd7d19d731256484d -           1157   4.9e-32   97.5   0.1   1   2   2.5e-31   2.5e-31   95.2   0.0    32   223   105   289    71   289 0.88 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 05a3decd47f092ebd7d19d731256484d -           1157   4.9e-32   97.5   0.1   2   2     0.098     0.098   -1.6   0.1    36    72   670   706   656   714 0.79 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 6fcd54bb1f80978185267a0bdd2acd16 -           1157     1e-31   96.5   0.0   1   1   2.5e-31   2.5e-31   95.2   0.0    32   223   105   289    71   289 0.88 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 e9c39fefeb1047c6d1938ba1f89d4814 -           1173   2.1e-31   95.5   0.4   1   2   1.8e-30   1.8e-30   92.4   0.0     9   223    86   290    78   290 0.94 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 e9c39fefeb1047c6d1938ba1f89d4814 -           1173   2.1e-31   95.5   0.4   2   2     0.026     0.026    0.3   0.1    35    72   675   712   645   725 0.79 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 95cc04f3a92f81f667ab04cc7b6c4768 -           1206   9.6e-39  119.5   0.1   1   2   9.6e-39   9.6e-39  119.5   0.1     9   223    86   290    81   290 0.93 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 95cc04f3a92f81f667ab04cc7b6c4768 -           1206   9.6e-39  119.5   0.1   2   2         1         1   -5.2   2.3   185   209  1150  1174  1116  1187 0.56 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 4b0662bab2e25fd50cfbeebf3c26c54c -           1180   2.5e-31   95.2   0.1   1   1   5.8e-31   5.8e-31   94.0   0.1    11   223    88   290    78   290 0.88 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 20925eba5c57ada6da2cd4801835abe8 -           1173   1.6e-31   95.9   2.6   1   2   3.1e-31   3.1e-31   94.9   0.1    11   223    90   288    69   288 0.88 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 20925eba5c57ada6da2cd4801835abe8 -           1173   1.6e-31   95.9   2.6   2   2     0.028     0.028    0.2   0.6   179   222  1111  1154  1098  1155 0.82 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 067c653d8305e31707d756a25e6de91a -           1176     2e-39  121.7   2.2   1   2   5.4e-39   5.4e-39  120.3   0.0     9   223    86   289    80   289 0.93 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 067c653d8305e31707d756a25e6de91a -           1176     2e-39  121.7   2.2   2   2     0.029     0.029    0.2   0.6   179   222  1114  1157  1101  1158 0.82 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 6b31e066ee75d8161708c50252ed0f0c -           1162   1.5e-37  115.6   0.2   1   2   4.4e-37   4.4e-37  114.0   0.0     9   223    86   289    76   289 0.93 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 6b31e066ee75d8161708c50252ed0f0c -           1162   1.5e-37  115.6   0.2   2   2      0.18      0.18   -2.4   0.1    39    72   678   711   668   718 0.78 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 b47c82f214c6dfff06304b96f332c520 -           1164   2.1e-37  115.1   0.0   1   1   4.5e-37   4.5e-37  114.0   0.0     9   223    86   289    76   289 0.93 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 43360ef5a3066fe7b82784e0a73aab94 -           1157   3.9e-28   84.8   0.1   1   3   3.9e-28   3.9e-28   84.8   0.1    41   223   111   285    90   285 0.92 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 43360ef5a3066fe7b82784e0a73aab94 -           1157   3.9e-28   84.8   0.1   2   3      0.27      0.27   -3.0   0.0    92   120   669   691   659   699 0.71 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 43360ef5a3066fe7b82784e0a73aab94 -           1157   3.9e-28   84.8   0.1   3   3      0.13      0.13   -2.0   0.1    59   123   921   985   917   989 0.77 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 f3c7956d095ad0bdb56399994c395c9b -           1174   1.8e-28   85.9   0.1   1   1     4e-28     4e-28   84.8   0.1    41   223   111   285    90   285 0.92 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 8ea0daf4d6ba9f7f7cc5de336d182d4a -           1174   1.8e-28   85.9   0.1   1   1     4e-28     4e-28   84.8   0.1    41   223   111   285    90   285 0.92 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 cf0c6686de7a397a15f3ea77e8793412 -           1204   3.7e-30   91.4   0.0   1   2   9.5e-30   9.5e-30   90.0   0.0    19   223    90   297    68   297 0.87 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 cf0c6686de7a397a15f3ea77e8793412 -           1204   3.7e-30   91.4   0.0   2   2      0.47      0.47   -3.8   0.1    45    71   700   726   690   730 0.82 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 2a9288c8f2e036fa7a7c2e3b19d4600e -           1199   1.2e-33  102.8   0.1   1   2   8.5e-33   8.5e-33  100.0   0.0    11   223    90   290    77   290 0.86 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 2a9288c8f2e036fa7a7c2e3b19d4600e -           1199   1.2e-33  102.8   0.1   2   2     0.061     0.061   -0.9   0.1    35    72   670   707   655   724 0.79 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 88ce3a027ea634fa0b64fcc2e4837886 -           1174   6.7e-35  106.9   0.1   1   2   1.2e-33   1.2e-33  102.8   0.0    13   223    84   289    68   289 0.89 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 88ce3a027ea634fa0b64fcc2e4837886 -           1174   6.7e-35  106.9   0.1   2   2     0.014     0.014    1.2   0.1    25    72   675   723   667   734 0.84 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 4d3285d35e93a0414ac4117810fbf65a -           1173   1.8e-31   95.7   3.6   1   2   3.1e-31   3.1e-31   94.9   0.1    11   223    90   288    69   288 0.88 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 4d3285d35e93a0414ac4117810fbf65a -           1173   1.8e-31   95.7   3.6   2   2     0.022     0.022    0.6   1.0   179   222  1111  1154  1098  1155 0.85 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 ceb62151802af1f9598cbdc67fd1ce59 -            758   1.2e-18   53.8   5.7   1   3     0.031     0.031    0.1   0.1    35    63    75   102    37   117 0.79 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 ceb62151802af1f9598cbdc67fd1ce59 -            758   1.2e-18   53.8   5.7   2   3   7.3e-17   7.3e-17   47.9   0.8    30   182   201   363   179   379 0.77 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 ceb62151802af1f9598cbdc67fd1ce59 -            758   1.2e-18   53.8   5.7   3   3   0.00051   0.00051    5.9   0.0   188   222   390   423   376   424 0.85 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 afbe00333d1d4b1f7cba5c3c9ded7288 -            803   5.4e-14   38.5   0.7   1   1   1.1e-13   1.1e-13   37.5   0.7    13   222   103   319    88   320 0.78 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 b1975f7fc71d94869d73f1da4c1c4ef2 -           1169   5.6e-34  103.9   0.1   1   2   4.4e-33   4.4e-33  101.0   0.0    22   223    89   290    75   290 0.92 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 b1975f7fc71d94869d73f1da4c1c4ef2 -           1169   5.6e-34  103.9   0.1   2   2     0.046     0.046   -0.5   0.0    89   124   646   675   633   697 0.58 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 0b413d0096ce43e0e22c6d411cbffd1c -            666   3.2e-33  101.4   0.4   1   1   4.9e-33   4.9e-33  100.8   0.4    11   222    98   296    87   297 0.81 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 28bcf6945fdca2ad99c21fa615182305 -            743   2.3e-19   56.1   3.0   1   2   9.2e-10   9.2e-10   24.7   0.0    67   155   182   266   127   289 0.75 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 28bcf6945fdca2ad99c21fa615182305 -            743   2.3e-19   56.1   3.0   2   2     1e-11     1e-11   31.1   0.9   155   223   297   359   280   359 0.86 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 5c84b528a56987b1a7ccf560ae4ecaee -           1214   1.7e-30   92.5   0.1   1   3   1.7e-30   1.7e-30   92.5   0.1    36   223   115   295    96   295 0.92 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 5c84b528a56987b1a7ccf560ae4ecaee -           1214   1.7e-30   92.5   0.1   2   3      0.58      0.58   -4.1   0.1    36    64   686   714   678   722 0.51 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 5c84b528a56987b1a7ccf560ae4ecaee -           1214   1.7e-30   92.5   0.1   3   3      0.99      0.99   -4.8   1.3   172   205  1136  1172  1129  1185 0.57 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 b4b5c26ce99f3f9bd164c99648506a8c -            666   2.5e-15   42.9   1.6   1   1   2.9e-14   2.9e-14   39.4   1.6    30   223    94   298    68   298 0.76 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 9109e47216c07024af5cf5b250a86dac -           1144   1.5e-26   79.6   0.0   1   2   5.6e-26   5.6e-26   77.7   0.0    11   221    62   267    52   269 0.84 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 9109e47216c07024af5cf5b250a86dac -           1144   1.5e-26   79.6   0.0   2   2      0.39      0.39   -3.5   0.1    95   135   312   347   309   348 0.71 delta endotoxin, N-terminal domain
#
# Program:         hmmscan
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SCAN
# Query file:      training_seqs_all.fasta
# Target file:     ./endotoxins-hmm/Endotoxin_N.hmm
# Option settings: hmmscan --domtblout out_endoN_targets.txt --noali --domE 1 --cpu 8 ./endotoxins-hmm/Endotoxin_N.hmm training_seqs_all.fasta 
# Current dir:     /Users/joannadreux/PycharmProjects/protein-classification
# Date:            Mon Sep 25 01:02:45 2017
# [ok]
