#                                                                                        --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name                       accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- -----             -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
Endotoxin_N          PF03945.13   223 d21707e1020060dd781546c7fcc1b427 -            633   3.8e-34  104.4   0.4   1   1   5.8e-34   5.8e-34  103.8   0.4     2   222    54   262    53   263 0.84 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 49ee408b0d0e68a6c0de92857d1ef7b6 -           1228   1.4e-28   86.2   0.0   1   1   3.4e-28   3.4e-28   85.0   0.0    15   223    73   275    59   275 0.88 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 6b712565e3e0d7b9b5d687c30b3e8160 -           1171   1.3e-30   92.9   0.0   1   1     4e-30     4e-30   91.3   0.0    10   223    50   250    44   250 0.91 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 7e2e55c182359e151bc2e2f21e0dd8d5 -           1117   2.9e-33  101.6   0.2   1   1   9.6e-33   9.6e-33   99.9   0.0    14   221    47   250    33   252 0.87 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 c541c6444367cd4c6a583307e1420de8 -           1156   1.3e-32   99.4   0.0   1   1     4e-32     4e-32   97.8   0.0     8   223    50   251    46   251 0.90 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 c46525df71e745250dc1143d4a726df8 -           1312   6.5e-27   80.8   0.0   1   1   1.2e-26   1.2e-26   79.9   0.0     6   223    93   326    87   326 0.82 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 425dc0cffae51e46491c4a8d6da5a27d -           1138   1.6e-32   99.2   0.3   1   1   5.2e-32   5.2e-32   97.5   0.3    35   223    97   278    61   278 0.87 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 8b03ef8bdafd21f4a428785983ad6de4 -            808     1e-29   89.9   1.4   1   1     1e-29     1e-29   89.9   1.4     2   222   106   336   105   337 0.82 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 2c9e450cdcbc5f49476e4764281d2c1b -            607   8.3e-34  103.3   0.0   1   1   1.2e-33   1.2e-33  102.8   0.0     8   223    50   251    46   251 0.92 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 bf158b4b90f18a1800f28596411cce53 -            678     2e-19   56.3   3.7   1   2     8e-10     8e-10   24.9   0.1    67   155   141   225    86   248 0.75 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 bf158b4b90f18a1800f28596411cce53 -            678     2e-19   56.3   3.7   2   2   7.6e-12   7.6e-12   31.5   1.3   155   223   256   318   239   318 0.86 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 ba1974b5e74009c21421020432d0b194 -            781   7.4e-30   90.4   0.2   1   2   6.7e-25   6.7e-25   74.2   0.0    19   199    92   272    70   286 0.82 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 ba1974b5e74009c21421020432d0b194 -            781   7.4e-30   90.4   0.2   2   2   1.9e-06   1.9e-06   13.8   0.1   193   223   334   364   307   364 0.91 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 8003b469ff06ca959cbde23536186cbb -           1173   5.3e-32   97.4   0.1   1   1   1.7e-31   1.7e-31   95.7   0.0     7   223    51   253    48   253 0.91 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 81aeadc057dad9b47fc0942b26ad1858 -           1176   5.6e-34  103.9   0.0   1   1     3e-33     3e-33  101.5   0.0     8   223    50   251    46   251 0.92 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 66e656b0f80b14c39a63f7cc48a002c0 -           1167   2.3e-29   88.8   0.0   1   1   8.8e-29   8.8e-29   86.9   0.0     8   223    49   250    46   250 0.92 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 b0ea31b2e4a1d6f8e9dd3c5467ea9b3d -           1174   1.8e-28   85.9   0.1   1   1     4e-28     4e-28   84.8   0.1    41   223   111   285    90   285 0.92 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 a2df6b40b27bf6342cd8593d66eaa9e4 -           1177   2.2e-33  102.0   0.0   1   1   1.2e-32   1.2e-32   99.6   0.0     8   223    50   251    46   251 0.90 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 9dd4b5c3bbebdf10f7c16f2cea71b95e -            823   2.5e-30   91.9   0.0   1   1   4.4e-30   4.4e-30   91.1   0.0     7   223    48   250    42   250 0.89 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 fbb708b8d8b904763c5bb48ba648b9ea -           1176   8.3e-34  103.3   0.1   1   1   4.4e-33   4.4e-33  101.0   0.0     8   223    50   251    46   251 0.90 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 c4ea42dc5df6faa84b70e21b04b4f75c -           1177   6.7e-34  103.6   0.0   1   1   3.8e-33   3.8e-33  101.2   0.0     8   223    50   251    46   251 0.92 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 12c5040ceb012373a52de51128fde9be -           1227   3.9e-27   81.5   0.0   1   1   7.6e-27   7.6e-27   80.6   0.0    20   223    78   275    60   275 0.87 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 f5f6c22b9408fd593cc4e69b3b87f9b2 -            609   7.8e-34  103.4   0.0   1   1   1.1e-33   1.1e-33  102.9   0.0     8   223    50   251    46   251 0.92 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 1e052c3381b9514392133615a175c957 -           1178   7.9e-34  103.4   0.0   1   1   4.5e-33   4.5e-33  100.9   0.0     8   223    50   251    46   251 0.90 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 a9a03405207fcc596aa3dd469ecee118 -           1174   1.8e-35  108.7   0.4   1   1   1.1e-34   1.1e-34  106.2   0.0     8   223    48   249    44   249 0.91 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 095957e7133f81e8cab0878aa9ee6871 -           1155   2.5e-28   85.4   0.1   1   1   4.9e-28   4.9e-28   84.4   0.1     6   223    72   285    67   285 0.80 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 a9f075297348eefe8fc239060a73dc8c -           1178   2.9e-33  101.6   0.1   1   1   1.6e-32   1.6e-32   99.1   0.0     8   223    50   251    46   251 0.90 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 8f09d4fc060281b629ccaea2e5e40bca -            633   1.4e-34  105.8   0.5   1   1   2.2e-34   2.2e-34  105.2   0.5     2   222    54   262    53   263 0.83 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 14724ca514d6cb569ebb1677606d4501 -           1176     7e-34  103.6   0.1   1   1   3.7e-33   3.7e-33  101.2   0.0     8   223    50   251    46   251 0.92 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 590d3b1f659d5f97b0fd4ebece73e183 -           1191   3.5e-30   91.5   0.0   1   1   8.1e-30   8.1e-30   90.3   0.0     7   223    48   250    42   250 0.89 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 55794ab34a4f17ef55664e52dd8352f2 -            699   2.9e-18   52.5   8.7   1   2   4.6e-12   4.6e-12   32.2   1.0    62   173   136   246   126   254 0.82 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 55794ab34a4f17ef55664e52dd8352f2 -            699   2.9e-18   52.5   8.7   2   2   1.9e-09   1.9e-09   23.6   1.8   154   223   255   318   239   318 0.85 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 d357e260123c8700b673946953a9c4a9 -           1172   6.8e-34  103.6   0.0   1   1   3.5e-33   3.5e-33  101.3   0.0     8   223    50   251    46   251 0.92 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 aa800c335a3f6da2242458aff2771cc3 -           1176   7.6e-34  103.5   0.1   1   1   3.7e-33   3.7e-33  101.2   0.0     8   223    50   251    46   251 0.92 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 0cd0921bfd28410086cdb243ee093747 -           1155   3.5e-33  101.3   0.0   1   1   1.1e-32   1.1e-32   99.7   0.0     8   223    50   251    46   251 0.90 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 d6dff8f1a3ea541ae059a420ca61b7c6 -            666   6.7e-20   57.9   0.0   1   1   1.1e-19   1.1e-19   57.1   0.0     3   223    59   288    57   288 0.83 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 9835a3691cd4fc189ce9a902071caf6b -           1182   3.9e-32   97.9   0.1   1   1   1.3e-31   1.3e-31   96.1   0.0     8   223    71   272    67   272 0.92 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 9e4a19cae35b962a2cce520a8a0d2f64 -           1233   8.8e-28   83.6   0.0   1   1   1.7e-27   1.7e-27   82.6   0.0    21   223    79   275    60   275 0.89 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 b6d2580b63c51c69389ac58f34703e4d -           1169   2.7e-35  108.2   0.2   1   1   6.8e-35   6.8e-35  106.9   0.0     8   223    48   249    44   249 0.91 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 54212292e85a6eba9760b70c9df49e40 -           1194   1.3e-30   92.8   0.1   1   1   3.2e-30   3.2e-30   91.6   0.1    36   223   108   288    98   288 0.93 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 d6d7c81d2621ec49b58ba09af787ad49 -           1235   1.6e-29   89.3   0.0   1   1   3.1e-29   3.1e-29   88.4   0.0    22   223    87   282    64   282 0.87 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 45083b717cdcd300715990e2f795c4cd -           1188   6.8e-29   87.3   0.0   1   1   1.9e-28   1.9e-28   85.8   0.0    17   223    49   249    30   249 0.88 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 f0fdae8993c51296b6ba4e9d48e49054 -           1177   6.9e-34  103.6   0.0   1   1   3.5e-33   3.5e-33  101.3   0.0     8   223    50   251    46   251 0.92 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 02f360dcdb6716895ea653c5d641fc57 -           1167   5.3e-29   87.6   0.0   1   1   2.6e-28   2.6e-28   85.4   0.0    21   223    60   245    45   245 0.87 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 6eb3227ca7bc2dd12822cca8854efa80 -           1178   9.7e-34  103.1   0.1   1   1   5.4e-33   5.4e-33  100.7   0.0     8   223    50   251    46   251 0.90 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 0b46c985f664de38b88aa3b26eeab6bc -           1228   1.1e-26   80.0   0.0   1   1   2.2e-26   2.2e-26   79.0   0.0    35   223    89   270    57   270 0.88 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 8944fe7b0b0b11489dd4b816178d2a0e -           1171   1.3e-30   92.9   0.0   1   1     4e-30     4e-30   91.3   0.0    10   223    50   250    44   250 0.91 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 2bac048b1e4fcacddc72b78d526fbb39 -           1255     2e-27   82.4   0.0   1   1   4.1e-27   4.1e-27   81.4   0.0     7   223    77   301    71   301 0.82 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 eff1733c6a62959e59bf9d5f5bb06997 -            633   2.7e-33  101.7   0.7   1   1   4.3e-33   4.3e-33  101.0   0.7    11   222    64   262    53   263 0.81 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 e9e158bfc1591c171577c29af32752d2 -           1189     5e-30   91.0   0.0   1   1   1.2e-29   1.2e-29   89.7   0.0     7   223    48   250    42   250 0.89 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 62d5beb216b0cce3df862705f2bc2696 -           1165   1.2e-34  106.1   0.3   1   1   2.5e-34   2.5e-34  105.0   0.0     7   223    48   250    45   250 0.93 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 0826e6e2f3bc765263a0c61e118425ea -           1178   8.9e-34  103.2   0.0   1   1   4.5e-33   4.5e-33  100.9   0.0     8   223    50   251    46   251 0.90 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 fa7af2e7ca004b9f9528f1a1ce553bd6 -           1167   2.3e-29   88.8   0.0   1   1   8.8e-29   8.8e-29   86.9   0.0     8   223    49   250    46   250 0.92 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 9e7b7917742a596f49865640eaab473a -           1170   3.3e-29   88.3   0.0   1   1   8.9e-29   8.9e-29   86.9   0.0     8   223    49   250    46   250 0.92 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 55e12dc73cbbe6c3641a010e189ea4b8 -           1136   9.2e-28   83.6   2.2   1   1   9.2e-28   9.2e-28   83.6   2.2    14   223    68   268    52   268 0.89 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 8e3fb2dc5cbe56b24ef574cb9b9e73b2 -            825   6.6e-29   87.3   0.4   1   2   4.3e-26   4.3e-26   78.1   0.0    31   204   100   279    81   289 0.81 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 8e3fb2dc5cbe56b24ef574cb9b9e73b2 -            825   6.6e-29   87.3   0.4   2   2   2.3e-06   2.3e-06   13.6   0.5   161   223   257   319   255   319 0.82 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 1643b352c9f2eb1a35fac2f33f013307 -           1151   3.4e-28   85.0   0.1   1   1   7.1e-28   7.1e-28   83.9   0.1    11   222    83   292    73   293 0.84 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 3e1eed5d5a91839faf006b67ef67a7ed -           1174   2.7e-35  108.2   0.2   1   1   6.8e-35   6.8e-35  106.9   0.0     8   223    48   249    44   249 0.91 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 0c14f441330f6ea4f13e086360e8fc68 -            623   1.9e-32   98.9   0.1   1   1   3.1e-32   3.1e-32   98.2   0.1    26   222    79   262    53   263 0.81 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 6778a68b5f1a269856aa7119ac215d9c -            601     2e-37  115.2   1.0   1   1   3.8e-37   3.8e-37  114.3   1.0     7   223    43   247    36   247 0.92 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 569b92777a5ea24206b87f8bf3dcc69f -           1177   6.7e-34  103.6   0.0   1   1   3.8e-33   3.8e-33  101.2   0.0     8   223    50   251    46   251 0.92 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 abc0d4f0ba02175716748ce7ff9337c8 -           1156   9.1e-33   99.9   0.0   1   1   2.9e-32   2.9e-32   98.3   0.0     8   223    50   251    46   251 0.90 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 20885289b8842fb61f63b356f3f488b6 -            623   7.5e-33  100.2   0.1   1   1   1.2e-32   1.2e-32   99.5   0.1    26   222    79   262    53   263 0.82 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 23615b3e6181b31c3faf3ed2ddb0e6d1 -           1231   1.5e-28   86.1   0.0   1   1   3.1e-28   3.1e-28   85.1   0.0    19   223    77   275    59   275 0.87 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 0b82f6f0762dbfd6055c95c76c0f07fb -           1171   1.3e-30   92.9   0.0   1   1     4e-30     4e-30   91.3   0.0    10   223    50   250    44   250 0.91 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 00ec6d542fd4484de7d335388f329721 -           1172   2.7e-30   91.8   0.1   1   1   1.1e-29   1.1e-29   89.9   0.0     7   223    51   249    48   249 0.90 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 87691083fc5c8ac44d77de4256d092a9 -            836   2.5e-15   42.9   6.0   1   1   2.5e-15   2.5e-15   42.9   6.0    36   223    96   291    92   291 0.76 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 ebce6fcea95730c5d1a3f76193bc3939 -            676     4e-35  107.6   0.2   1   1   6.7e-35   6.7e-35  106.9   0.2     6   223    45   250    40   250 0.91 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 724f10a4c58a2a17becf54301f28801c -           1229   1.4e-28   86.2   0.0   1   1   3.2e-28   3.2e-28   85.1   0.0    20   223    78   275    60   275 0.87 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 2788a1c306a149a0f7416989ef399fe3 -           1163   1.3e-28   86.4   0.1   1   1   3.4e-28   3.4e-28   85.0   0.1     9   223    84   288    74   288 0.85 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 96fa7f1c6cb7c44ff78d867160d3bbe1 -            688   7.5e-13   34.8   0.3   1   1   1.3e-12   1.3e-12   34.0   0.3     4   223    77   301    74   301 0.71 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 b4261cdd1c4974ee24cd42fc76e65dc8 -           1236   2.2e-39  121.6   0.0   1   1   4.2e-39   4.2e-39  120.6   0.0     2   223    68   288    67   288 0.92 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 5efef6a921bba12693cd837299208ce4 -           1176   5.6e-34  103.9   0.0   1   1     3e-33     3e-33  101.5   0.0     8   223    50   251    46   251 0.92 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 7f299001b068bc3b459a3d1457549ac7 -           1295   1.8e-26   79.3   0.4   1   1   3.6e-26   3.6e-26   78.4   0.4    66   223   142   297   119   297 0.89 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 94bc2dc2cef3c508acd92ea6914ecd5c -           1258   2.3e-25   75.7   0.0   1   1   4.3e-25   4.3e-25   74.8   0.0     6   223    77   302    72   302 0.81 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 288d833d4c070cf7aae6451341483449 -            810   4.9e-36  110.6   2.0   1   2   1.3e-31   1.3e-31   96.2   0.0     3   205    72   272    70   282 0.89 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 288d833d4c070cf7aae6451341483449 -            810   4.9e-36  110.6   2.0   2   2   2.5e-06   2.5e-06   13.4   0.8   195   223   285   313   277   313 0.91 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 99c40f5339103e75d4a836c2c9348128 -           1156   3.8e-19   55.4   0.0   1   1   7.4e-19   7.4e-19   54.4   0.0     7   223    68   287    61   287 0.79 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 7ce9ab247a77d3168254d17bbac89569 -           1189     5e-30   91.0   0.0   1   1   1.2e-29   1.2e-29   89.7   0.0     7   223    48   250    42   250 0.89 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 72bd0c95e85a93e5379530773cd70132 -           1166   4.3e-32   97.7   0.1   1   1   8.1e-32   8.1e-32   96.8   0.1    17   222    88   288    70   289 0.88 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 99778a6dfe40fb2fa6e9d087bc114bbe -           1155   3.2e-33  101.4   0.0   1   1   1.1e-32   1.1e-32   99.7   0.0     8   223    50   251    46   251 0.90 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 7b0c4b0046f1c7b77591a986f9f71c48 -            792   1.8e-22   66.3   0.0   1   1   1.8e-22   1.8e-22   66.3   0.0    34   221    67   238    55   240 0.90 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 e04f758ddf10f2ba2038a9ce1f807446 -           1155   7.2e-33  100.3   0.0   1   1   2.3e-32   2.3e-32   98.6   0.0     8   223    50   251    46   251 0.90 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 9256021d2800b1da51c723c0f755d94c -           1179   4.6e-33  100.9   0.0   1   1   1.3e-32   1.3e-32   99.5   0.0     8   223    50   251    46   251 0.91 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 0cc6821e0444dca218eb5125c33b8e26 -            705   5.3e-34  104.0   0.0   1   1   9.4e-34   9.4e-34  103.1   0.0    10   223    77   279    64   279 0.87 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 70b33d443b6a6aea0a46258066a5d218 -            644   1.6e-33  102.4   2.0   1   1   6.6e-33   6.6e-33  100.4   0.6    15   223    83   287    65   287 0.81 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 8d2c683baa33d186155bfd7691869775 -           1176   8.8e-34  103.2   0.1   1   1   4.6e-33   4.6e-33  100.9   0.0     8   223    50   251    46   251 0.92 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 58916c8ef9e304e77c82f55347fa918b -           1157     8e-30   90.3   0.0   1   1   1.5e-29   1.5e-29   89.4   0.0    20   223    91   289    69   289 0.87 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 f9a628bfc60208f67bd8ca8fabe2e97c -            633     2e-33  102.1   0.7   1   1   3.2e-33   3.2e-33  101.4   0.7    11   222    64   262    53   263 0.81 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 a5a6a0a3eb55f5817d7c00ede86e79fa -           1168   1.3e-27   83.0   0.0   1   1   3.6e-27   3.6e-27   81.6   0.0     8   223    49   250    46   250 0.93 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 70a5a889eb5bef962cdb3c79254562fb -            679   4.8e-25   74.7   0.2   1   1   1.4e-24   1.4e-24   73.2   0.1     6   223    77   285    72   285 0.84 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 1df5405af96ee583e64f37fd30e3602a -           1176   6.9e-34  103.6   0.1   1   1   3.7e-33   3.7e-33  101.2   0.0     8   223    50   251    46   251 0.92 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 f9a07866d0ba6ac8e310d1f66ed4de96 -           1177     9e-34  103.2   0.0   1   1   3.8e-33   3.8e-33  101.2   0.0     8   223    50   251    46   251 0.92 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 3de903a2ca05b4265ec6e2ea045aeecb -           1176   6.5e-34  103.7   0.0   1   1   3.5e-33   3.5e-33  101.3   0.0     8   223    50   251    46   251 0.92 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 e08071cd7c20e616adba9becd2865abe -           1160   1.2e-28   86.5   0.4   1   1   4.5e-28   4.5e-28   84.6   0.0     9   223    86   290    77   290 0.90 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 a8e23232331b720c07efc8e51363b900 -            618   6.7e-27   80.7   3.0   1   1   6.7e-27   6.7e-27   80.7   3.0     5   223    47   256    44   256 0.79 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 499cf487d873b12c2f840e5dbc051f71 -           1256   4.8e-28   84.5   0.0   1   1   9.1e-28   9.1e-28   83.6   0.0    20   223    78   275    60   275 0.88 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 c62f4bd1e59408e85b0da89f3e551eba -           1227   6.6e-27   80.8   0.0   1   1   1.2e-26   1.2e-26   79.9   0.0    20   223    78   275    60   275 0.87 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 8d89d66dbc961e9f663b42ad62e11900 -           1203   1.4e-28   86.3   0.0   1   1   3.1e-28   3.1e-28   85.1   0.0    20   223    52   249    34   249 0.87 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 b190f34348da99d3c98b4c68afd55e54 -           1178   2.7e-34  104.9   0.0   1   1   1.6e-33   1.6e-33  102.4   0.0     8   223    50   251    46   251 0.90 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 e0ba8c851cdc2bc0d898f2fd0d65a46b -            802   3.6e-15   42.4   0.0   1   1   6.1e-15   6.1e-15   41.6   0.0     7   223    68   287    61   287 0.79 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 a7a1d8acc34e80f7d0c9cb19c3b0f1c7 -           1164   2.2e-37  115.0   0.0   1   1   4.5e-37   4.5e-37  114.0   0.0     9   223    86   289    76   289 0.93 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 bb04bb8a71d12da233f14fc12b539e2b -           1289   3.1e-25   75.3   0.0   1   1   5.3e-25   5.3e-25   74.5   0.0     4   223    80   311    77   311 0.87 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 cd866d64d61c4cb2a8ff4176b0676e1f -           1170   4.8e-25   74.7   0.1   1   1   1.2e-24   1.2e-24   73.4   0.0    20   223    63   248    50   248 0.84 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 8e141c596dcc11a535de387df35f42b7 -           1179   4.2e-33  101.0   0.1   1   1   1.3e-32   1.3e-32   99.5   0.0     8   223    50   251    46   251 0.91 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 71e9188e99cc0c8a0dc9fc43ab0ae40b -           1228   2.6e-28   85.3   0.0   1   1   5.2e-28   5.2e-28   84.4   0.0    35   223    89   270    57   270 0.88 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 da9278464f38d7324df43f8fff2f4696 -           1267   9.8e-30   90.0   0.4   1   1     2e-29     2e-29   89.0   0.4    18   223    89   298    71   298 0.86 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 57b398e481bc1a52163f24f122fdbd7f -           1426     4e-30   91.3   0.1   1   1   8.2e-30   8.2e-30   90.3   0.1    39   223   115   297    85   297 0.83 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 5030be9a902dc70c275f64b298b4b003 -           1078   4.7e-24   71.4   8.6   1   1   4.7e-24   4.7e-24   71.4   8.6    48   223   112   286    93   286 0.87 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 3c11e1db7f55491355f341866eb84e51 -           1168   2.1e-35  108.5   0.1   1   1   5.4e-35   5.4e-35  107.2   0.0     8   223    48   249    44   249 0.91 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 ad2a670a4bd384f55dcdb931b0f566c5 -           1155   3.2e-33  101.4   0.0   1   1   1.1e-32   1.1e-32   99.7   0.0     8   223    50   251    46   251 0.90 delta endotoxin, N-terminal domain
#
# Program:         hmmscan
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SCAN
# Query file:      sg_putative_10000.faa
# Target file:     ./endotoxins-hmm/Endotoxin_N.hmm
# Option settings: hmmscan --domtblout out_endoN_training.txt --noali --domE 1e-05 --cpu 8 ./endotoxins-hmm/Endotoxin_N.hmm sg_putative_10000.faa 
# Current dir:     /Users/jdreux/PycharmProjects/protein-classification
# Date:            Mon Sep 25 14:01:05 2017
# [ok]
